WARNING 2025-09-26 20:42:04,227 basehttp 1244054 139959148918528 "POST /api/accounts/login/ HTTP/1.1" 404 4921
INFO 2025-09-26 20:44:28,318 autoreload 1244054 139959472199488 /home/sergeo/Documents/spotter-application/spotter-backend/spotter_project/urls.py changed, reloading.
INFO 2025-09-26 20:44:30,479 autoreload 1246443 140310118913856 Watching for file changes with StatReloader
INFO 2025-09-26 20:44:48,134 basehttp 1246443 140309963077376 "POST /api/accounts/login/ HTTP/1.1" 200 1123
INFO 2025-09-26 20:44:48,423 basehttp 1246443 140309963077376 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 20:44:48,441 basehttp 1246443 140309870671616 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 20:44:48,485 basehttp 1246443 140309862278912 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 20:44:48,499 basehttp 1246443 140309870671616 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:44:48,516 basehttp 1246443 140309963077376 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:44:48,573 basehttp 1246443 140309870671616 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:44:48,584 basehttp 1246443 140309963077376 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:44:54,927 basehttp 1246443 140309963077376 "GET /api/trips/vehicles/ HTTP/1.1" 200 52
INFO 2025-09-26 20:44:55,034 basehttp 1246443 140309963077376 "GET /api/trips/vehicles/ HTTP/1.1" 200 52
INFO 2025-09-26 20:45:06,065 autoreload 1246443 140310118913856 /home/sergeo/Documents/spotter-application/spotter-backend/accounts/serializers.py changed, reloading.
INFO 2025-09-26 20:45:07,711 autoreload 1246667 139956870297408 Watching for file changes with StatReloader
INFO 2025-09-26 20:45:15,891 basehttp 1246667 139956714481408 "GET /api/accounts/profile/ HTTP/1.1" 200 533
INFO 2025-09-26 20:45:15,923 basehttp 1246667 139956693337856 "GET /api/accounts/profile/ HTTP/1.1" 200 533
INFO 2025-09-26 20:45:16,868 basehttp 1246667 139956714481408 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:45:17,063 basehttp 1246667 139956693337856 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:45:17,086 basehttp 1246667 139956609611520 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:45:17,090 basehttp 1246667 139956714481408 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
WARNING 2025-09-26 20:51:00,204 log 1246667 139956609611520 Bad Request: /api/accounts/users/
WARNING 2025-09-26 20:51:00,208 basehttp 1246667 139956609611520 "POST /api/accounts/users/ HTTP/1.1" 400 147
